time,open,high,low,close,funding
2020-01-11T08:00:00Z,8073.13,8122,8011.56,8092.61,17.587658959335116
2020-01-11T16:00:00Z,8092.6,8290,8000.01,8020,9.784835918880574
2020-01-12T00:00:00Z,8017.47,8149.49,7963.25,8092.94,16.488502701293317
2020-01-12T08:00:00Z,8092.82,8178.18,8082.06,8146.13,4.921993116645096
2020-01-12T16:00:00Z,8146.13,8185,8070.38,8180.81,14.53716620136436
2020-01-13T00:00:00Z,8180.81,8195.81,8041.95,8063.74,13.606414796758948
2020-01-13T08:00:00Z,8063.74,8118.15,8045.07,8074.83,16.713517696045123
2020-01-13T16:00:00Z,8074.82,8157.95,8061.98,8104.5,4.879505111481164
2020-01-14T00:00:00Z,8105.6,8590.38,8105.23,8505.73,10.012242035929875
2020-01-14T08:00:00Z,8500.35,8778.01,8458.21,8686.01,9.829127697753126
2020-01-14T16:00:00Z,8686,8893.69,8515.75,8815.69,39.15270515807834
2020-01-15T00:00:00Z,8812.58,8900,8550,8607.92,46.597886089479786
2020-01-15T08:00:00Z,8605.37,8899,8592,8745.03,68.49693924942812
2020-01-15T16:00:00Z,8745.41,8864.29,8658,8808.81,35.08555373000877
2020-01-16T00:00:00Z,8808.81,8850,8580,8660.02,43.21422839085598
2020-01-16T08:00:00Z,8660.01,8772.38,8590,8700.63,30.760803537408954
2020-01-16T16:00:00Z,8700.63,8749.71,8602.98,8714.76,30.610970531188663
2020-01-17T00:00:00Z,8714.77,8990.61,8665.67,8917.99,34.65279478826056
2020-01-17T08:00:00Z,8916.22,9013,8766.27,8840.22,41.317007337247524
2020-01-17T16:00:00Z,8840.22,8949.39,8800,8899.42,36.882631633209265
2020-01-18T00:00:00Z,8899.42,8980,8800.1,8841.64,13.743222766754549
2020-01-18T08:00:00Z,8841.63,8958.82,8819.85,8890.98,26.83436384912552
2020-01-18T16:00:00Z,8890.98,8953.8,8840,8909.32,28.002790021981916
2020-01-19T00:00:00Z,8908.95,9194.99,8882,9075.59,21.976403167872306
2020-01-19T08:00:00Z,9075.58,9114.83,8465,8624.9,23.226198473324743
2020-01-19T16:00:00Z,8623.28,8750,8477.02,8697.53,-5.709306555245597
2020-01-20T00:00:00Z,8697.53,8725,8622.14,8648.99,-5.350250821272273
2020-01-20T08:00:00Z,8648.16,8667.24,8504.06,8663.5,10.425818756989447
2020-01-20T16:00:00Z,8663.5,8734.84,8601.91,8628.89,17.0108931653683
2020-01-21T00:00:00Z,8628.89,8675,8605,8617.67,17.742731974003
2020-01-21T08:00:00Z,8617.67,8670.06,8591.45,8635.02,23.712119989539595
2020-01-21T16:00:00Z,8635.02,8774.31,8465,8722.03,16.35839563843433
2020-01-22T00:00:00Z,8722.03,8791.76,8685,8718.75,-0.8988781734546869
2020-01-22T08:00:00Z,8719.45,8720,8601,8634.41,19.12092537274401
2020-01-22T16:00:00Z,8632.52,8685.85,8565,8660.38,14.442209328750955
2020-01-23T00:00:00Z,8660.38,8665,8458,8551.29,9.313866495022527
2020-01-23T08:00:00Z,8551.28,8590.11,8288.88,8332.01,23.273872601395684
2020-01-23T16:00:00Z,8332.01,8426.65,8278,8385.22,31.060741721033903
2020-01-24T00:00:00Z,8385.21,8400,8267,8318.38,29.295279369636607
2020-01-24T08:00:00Z,8318.4,8499.99,8216.71,8490.92,26.93727138953006
2020-01-24T16:00:00Z,8494.9,8509.99,8399.29,8427.26,14.481791594236459
2020-01-25T00:00:00Z,8427.58,8437.76,8252.73,8294.43,4.157577682648017
2020-01-25T08:00:00Z,8294.73,8361.22,8275,8321.11,2.6670536806965295
2020-01-25T16:00:00Z,8321.1,8406.14,8308.33,8326.81,12.90169192686852
2020-01-26T00:00:00Z,8326.8,8373.47,8278.68,8368.21,6.559184044952371
2020-01-26T08:00:00Z,8368.2,8461.72,8364.4,8426.6,16.039555584195895
2020-01-26T16:00:00Z,8426.61,8595,8426.61,8595,28.218535359065598
2020-01-27T00:00:00Z,8595,8683.48,8595,8636.46,12.303831804808096
2020-01-27T08:00:00Z,8636.46,8775.1,8556.6,8755.22,3.1656816278547995
2020-01-27T16:00:00Z,8755.22,8985,8724.31,8895.96,17.809337110089697
2020-01-28T00:00:00Z,8895.95,9150,8895.95,9026.99,13.270905532297483
2020-01-28T08:00:00Z,9028.1,9188.62,8926.02,9010.64,16.782799626132938
2020-01-28T16:00:00Z,9010.64,9418.91,8880.87,9394.5,24.47228125569467
2020-01-29T00:00:00Z,9391.14,9439.83,9265,9361.08,46.7519561644707
2020-01-29T08:00:00Z,9361.03,9423,9224.75,9272.23,53.87916789678293
2020-01-29T16:00:00Z,9272.22,9429,9253.22,9288.44,41.5920189418898
2020-01-30T00:00:00Z,9287.9,9373.74,9185,9368.9,27.52471461206374
2020-01-30T08:00:00Z,9366.45,9397.93,9288.52,9367.98,36.22465682223797
2020-01-30T16:00:00Z,9367.07,9574.68,9171.11,9503.08,28.89656510915306
2020-01-31T00:00:00Z,9502.71,9522.5,9301.46,9345.94,-23.36549272094984
2020-01-31T08:00:00Z,9344.93,9380.91,9195.49,9316.21,30.177581272925803
2020-01-31T16:00:00Z,9316.21,9414.44,9240.04,9334.98,37.310038027443596
2020-02-01T00:00:00Z,9334.98,9458.08,9331.13,9417.01,30.8726869206043
2020-02-01T08:00:00Z,9417,9419.06,9285.01,9322.73,37.349468974441244
2020-02-01T16:00:00Z,9322.73,9409.06,9315.72,9380.18,20.793718621938574
2020-02-02T00:00:00Z,9380.18,9380.18,9140,9363.6,26.08505758837987
2020-02-02T08:00:00Z,9363.59,9480,9333.65,9449.67,23.93162232591095
2020-02-02T16:00:00Z,9448.68,9463.56,9310.48,9323.5,36.06139728409574
2020-02-03T00:00:00Z,9325.01,9619.95,9250,9353.28,25.738806821799077
2020-02-03T08:00:00Z,9353.27,9380.78,9256.09,9256.1,36.174023192178886
2020-02-03T16:00:00Z,9256.1,9336.21,9220,9280.49,29.246679100590644
2020-02-04T00:00:00Z,9280.49,9350,9207.57,9260.37,22.472746934880995
2020-02-04T08:00:00Z,9261.59,9275,9078.05,9187.99,24.308466644947902
2020-02-04T16:00:00Z,9185.81,9218.66,9119.63,9164.33,20.304571112242154
2020-02-05T00:00:00Z,9164.33,9275.08,9150,9246.34,14.588802162345594
2020-02-05T08:00:00Z,9246.33,9496.01,9215.4,9479.35,22.65694698902132
2020-02-05T16:00:00Z,9479.34,9769.7,9471.3,9613.82,36.58252206035784
2020-02-06T00:00:00Z,9613.91,9692.12,9521.47,9620.57,66.40029190467745
2020-02-06T08:00:00Z,9619.74,9857,9587.77,9786,37.74933252682477
2020-02-06T16:00:00Z,9786,9833.67,9650,9763.01,36.8640207561548
2020-02-07T00:00:00Z,9763.01,9840.66,9728,9775.01,28.24239867332279
2020-02-07T08:00:00Z,9775.01,9885,9713.99,9782.77,29.916665787979134
2020-02-07T16:00:00Z,9782.78,9825.36,9720.52,9808.05,40.29732123769536
2020-02-08T00:00:00Z,9807.92,9821.64,9653.47,9753.8,30.642129333012026
2020-02-08T08:00:00Z,9753.81,9887.72,9751.84,9837.24,27.673590020751206
2020-02-08T16:00:00Z,9837.26,9955,9803,9905.64,29.415590573704243
2020-02-09T00:00:00Z,9905.64,10175.58,9888.76,10134.9,35.205077367831514
2020-02-09T08:00:00Z,10134.9,10157.09,10019.04,10107.72,32.464495099958526
2020-02-09T16:00:00Z,10107.72,10178.91,10017,10168.35,33.692073504828166
2020-02-10T00:00:00Z,10168.36,10199,9736,9982.35,40.82941219374347
2020-02-10T08:00:00Z,9982.35,9983.11,9760,9866.88,59.803331389128964
2020-02-10T16:00:00Z,9866.88,9895.5,9795.1,9851.78,39.472812469979914
2020-02-11T00:00:00Z,9851.78,9861.47,9706,9735.14,32.83355682507061
2020-02-11T08:00:00Z,9735.13,10250,9722.57,10215.17,43.628534871033466
2020-02-11T16:00:00Z,10215.18,10400,10207.31,10270.01,63.99734399495771
2020-02-12T00:00:00Z,10270.01,10483.86,10269.19,10397.02,85.68678185137702
2020-02-12T08:00:00Z,10393.57,10446.76,10250,10343.1,47.57409927056966
2020-02-12T16:00:00Z,10344.19,10445,10320.88,10351.13,37.6533790904291
2020-02-13T00:00:00Z,10351.13,10500,10337.3,10361.43,47.115683279247975
2020-02-13T08:00:00Z,10359.94,10522.51,10083.1,10260.82,56.797613748726164
2020-02-13T16:00:00Z,10266.43,10297.27,10132.72,10236.49,46.555105690625595
2020-02-14T00:00:00Z,10236.49,10284.02,10105,10109.97,35.23023775477397
2020-02-14T08:00:00Z,10112.2,10349.99,10102.5,10259,126.68199684080005
2020-02-14T16:00:00Z,10259,10395.66,10250.8,10371.33,53.731617209168306
2020-02-15T00:00:00Z,10371.33,10400,10200,10234.63,33.29012706460044
2020-02-15T08:00:00Z,10232.86,10278.29,9750,9976.77,18.704857964841448
2020-02-15T16:00:00Z,9976.77,10098.66,9801.81,9911.22,26.97788880901686
2020-02-16T00:00:00Z,9911.22,10048.34,9856.12,9968.7,47.03541445227521
2020-02-16T08:00:00Z,9968.71,10019.17,9832.05,9872.99,23.50620635544809
2020-02-16T16:00:00Z,9871.22,10004.46,9612.12,9921,29.617257489338854
2020-02-17T00:00:00Z,9920.52,9969.38,9707.99,9760.03,40.17914568140124
2020-02-17T08:00:00Z,9760.03,9845,9467,9655.64,37.0239409268347
2020-02-17T16:00:00Z,9655.75,9736.84,9590,9700,27.491382858865656
2020-02-18T00:00:00Z,9700,9823.42,9635.84,9807.5,33.5248078031134
2020-02-18T08:00:00Z,9807.5,9888.78,9610.27,9863.41,33.94094022515104
2020-02-18T16:00:00Z,9863.62,10298.25,9851.89,10188.04,33.54080179334063
2020-02-19T00:00:00Z,10188.04,10205.05,10061.68,10073.95,36.57974962622612
2020-02-19T08:00:00Z,10073.96,10268.68,10039.22,10136.94,37.10401305447586
2020-02-19T16:00:00Z,10136.94,10315,9280.98,9600.08,62.89567402270113
2020-02-20T00:00:00Z,9593.48,9653.1,9479.19,9593.47,2.2011035352054176
